Params,Profit
"[500, 0.01, 3, 10, 3, 0]",-23.495275920135413
"[500, 0.01, 3, 10, 5, 0]",41.50472407986458
"[500, 0.01, 3, 100, 1, 0]",41.50472407986458
"[500, 0.01, 3, 100, 3, 0]",36.36186693700741
"[500, 0.01, 3, 100, 5, 0]",36.36186693700741
"[500, 0.01, 3, 500, 1, 0]",23.50472407986455
"[500, 0.01, 3, 500, 3, 0]",-28.638133062992587
"[500, 0.01, 3, 500, 5, 0]",23.50472407986455
"[500, 0.01, 5, 10, 1, 0]",5.095979984904487
"[500, 0.01, 5, 10, 3, 0]",-110.43563159116162
"[500, 0.01, 5, 10, 5, 0]",107.89746612872865
"[500, 0.01, 5, 100, 1, 0]",74.216726090778
"[500, 0.01, 5, 100, 3, 0]",117.4327370636136
"[500, 0.01, 5, 100, 5, 0]",68.69057457949907
"[500, 0.01, 5, 500, 1, 0]",116.2204954101956
"[500, 0.01, 5, 500, 3, 0]",97.18273706361352
"[500, 0.01, 5, 500, 5, 0]",65.1905745794989
"[500, 0.05, 1, 10, 1, 0]",-661.1360335315519
"[500, 0.05, 1, 10, 3, 0]",-661.1360335315519
"[500, 0.05, 1, 10, 5, 0]",-661.1360335315519
"[500, 0.05, 1, 100, 1, 0]",-661.1360335315519
"[500, 0.05, 1, 100, 3, 0]",-661.1360335315519
"[500, 0.05, 1, 100, 5, 0]",-661.1360335315519
"[500, 0.05, 1, 500, 1, 0]",-661.1360335315519
"[500, 0.05, 1, 500, 3, 0]",-661.1360335315519
"[500, 0.05, 1, 500, 5, 0]",-661.1360335315519
"[500, 0.05, 3, 10, 1, 0]",-276.81876301050846
"[500, 0.05, 3, 10, 3, 0]",-341.3187630105083
"[500, 0.05, 3, 10, 5, 0]",-259.7226091643545
"[500, 0.05, 3, 100, 1, 0]",-259.44664024836004
"[500, 0.05, 3, 100, 3, 0]",-220.80895908893973
"[500, 0.05, 3, 100, 5, 0]",-322.692690300257
"[500, 0.05, 3, 500, 1, 0]",-380.7256257556064
"[500, 0.05, 3, 500, 3, 0]",-273.94784797782853
"[500, 0.05, 3, 500, 5, 0]",-262.69784797782864
"[500, 0.05, 5, 10, 1, 0]",-75.54481775998555
"[500, 0.05, 5, 10, 3, 0]",-360.05290627770813
"[500, 0.05, 5, 10, 5, 0]",-264.89475754974166
"[500, 0.05, 5, 100, 1, 0]",-179.83898221286034
"[500, 0.05, 5, 100, 3, 0]",-313.54381390019455
"[500, 0.05, 5, 100, 5, 0]",-414.6170705601659
"[500, 0.05, 5, 500, 1, 0]",-281.98049613561534
"[500, 0.05, 5, 500, 3, 0]",-310.9214302922039
"[500, 0.05, 5, 500, 5, 0]",36.82065010548232
"[500, 0.1, 1, 10, 1, 0]",-754.9167142187601
"[500, 0.1, 1, 10, 3, 0]",-754.9167142187601
"[500, 0.1, 1, 10, 5, 0]",-754.9167142187601
"[500, 0.1, 1, 100, 1, 0]",-754.9167142187601
"[500, 0.1, 1, 100, 3, 0]",-754.9167142187601
"[500, 0.1, 1, 100, 5, 0]",-754.9167142187601
"[500, 0.1, 1, 500, 1, 0]",-754.9167142187601
"[500, 0.1, 1, 500, 3, 0]",-754.9167142187601
"[500, 0.1, 1, 500, 5, 0]",-754.9167142187601
"[500, 0.1, 3, 10, 1, 0]",-150.642981296758
"[500, 0.1, 3, 10, 3, 0]",-140.95250510628173
"[500, 0.1, 3, 10, 5, 0]",-89.11917177294843
"[500, 0.1, 3, 100, 1, 0]",-146.28583843961505
"[500, 0.1, 3, 100, 3, 0]",-217.33956249333934
"[500, 0.1, 3, 100, 5, 0]",-107.08532930514365
"[500, 0.1, 3, 500, 1, 0]",-104.85791051168717
"[500, 0.1, 3, 500, 3, 0]",-143.6509178046945
"[500, 0.1, 3, 500, 5, 0]",-161.56758447136113
"[500, 0.1, 5, 10, 1, 0]",-392.6795233842273
"[500, 0.1, 5, 10, 3, 0]",-617.2821976524455
"[500, 0.1, 5, 10, 5, 0]",-323.14070087077835
"[500, 0.1, 5, 100, 1, 0]",-275.7384123248366
"[500, 0.1, 5, 100, 3, 0]",-191.70078097909968
"[500, 0.1, 5, 100, 5, 0]",-31.45345510828707
"[500, 0.1, 5, 500, 1, 0]",-320.5706728595738
"[500, 0.1, 5, 500, 3, 0]",-588.5453894156373
"[500, 0.1, 5, 500, 5, 0]",-198.7926271529736
