Profit,Params
622.5852006679501,"[10, 0.05, 3, 10, 10, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 100, 1, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 100, 1, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 100, 1, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 100, 3, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 100, 3, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 100, 3, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 100, 5, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 100, 5, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 100, 5, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 100, 10, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 100, 10, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 100, 10, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 500, 1, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 500, 1, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 500, 1, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 500, 3, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 500, 3, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 500, 3, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 500, 5, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 500, 5, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 500, 5, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 500, 10, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 500, 10, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 500, 10, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 1000, 1, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 1000, 1, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 1000, 1, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 1000, 3, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 1000, 3, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 1000, 3, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 1000, 5, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 1000, 5, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 1000, 5, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 1000, 10, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 1000, 10, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 1000, 10, 8, 0]"
435.52528444430527,"[10, 0.05, 5, 10, 1, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 10, 1, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 10, 1, 8, 0]"
515.7175921366128,"[10, 0.05, 5, 10, 3, 3, 0]"
